"","date","taxes"
"1",2010 Q1,2346600
"2",2010 Q2,2660500
"3",2010 Q3,2507500
"4",2010 Q4,2982800
"5",2011 Q1,2886700
"6",2011 Q2,3568530.11710266
"7",2011 Q3,3463000
"8",2011 Q4,3811200
"9",2012 Q1,3332800
"10",2012 Q2,4019300
"11",2012 Q3,3590700
"12",2012 Q4,4081000
"13",2013 Q1,3443800
"14",2013 Q2,3797300
"15",2013 Q3,3829300
"16",2013 Q4,4308571.01215623
"17",2014 Q1,3861800
"18",2014 Q2,4216900
"19",2014 Q3,4096717.75965279
"20",2014 Q4,4664200
"21",2015 Q1,3675793.86445007
"22",2015 Q2,3872749.87863335
"23",2015 Q3,3977000
"24",2015 Q4,3896000
"25",2016 Q1,3574000
"26",2016 Q2,3931500
"27",2016 Q3,3955100
"28",2016 Q4,4367600
"29",2017 Q1,4165040
"30",2017 Q2,4276226
"31",2017 Q3,4247600
"32",2017 Q4,4891000
"33",2018 Q1,4509772
"34",2018 Q2,5152707
"35",2018 Q3,5322600
"36",2018 Q4,6046010
"37",2019 Q1,5064066.5
"38",2019 Q2,5619060.5
"39",2019 Q3,5579421.5
"40",2019 Q4,6045754
"41",2020 Q1,5224200
"42",2020 Q2,4615200
"43",2020 Q3,5161900
"44",2020 Q4,6684900
